academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,vacant_seats,lateral_entry_seats,pwd_seats,defence_seats,category_seats,source_file,source_page,needs_review,review_reason
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,18,0110526310,Artificial Intelligence (AI) and Data Science,,15,0,,,0,3,,,0,12,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":1},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,12,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,10,0110526710,Computer Science and Engineering (IoT),,8,0,,,0,2,,,0,6,0,0,"{""OPEN"":{""general"":2,""ladies"":1},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,12,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,19,0110537210,Electronics and Telecommunication Engg,,17,0,,,0,2,,,2,12,2,2,"{""OPEN"":{""general"":4,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,12,false,
2025-26,DSE,01105,"Prof. Ram Meghe Institute of Technology & Research, Amravati",Un-Aided - Autonomous,Un-Aided -,true,32,0110561210,Mechanical Engineering,,23,0,,,0,9,,,8,12,2,2,"{""OPEN"":{""general"":6,""ladies"":3},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":1},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":2},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,13,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,21,0110719110,Civil Engineering,,17,0,,,0,4,,,9,6,2,2,"{""OPEN"":{""general"":5,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":1},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,14,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,25,0110724210,Computer Science and Engineering,,23,0,,,0,2,,,0,18,2,2,"{""OPEN"":{""general"":6,""ladies"":2},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":1},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":1},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":2,""ladies"":2},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,14,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,15,0110729310,Electrical Engineering,,13,0,,,0,2,,,5,6,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,14,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,13,0110737210,Electronics and Telecommunication Engg,,12,0,,,0,1,,,4,6,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":0,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":0,""ladies"":1},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":1,""ladies"":1},""SEBC"":{""general"":0,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,15,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,25,0110761210,Mechanical Engineering,,18,0,,,0,7,,,10,6,2,2,"{""OPEN"":{""general"":5,""ladies"":2},""SC"":{""general"":2,""ladies"":0},""ST"":{""general"":0,""ladies"":1},""VJDT"":{""general"":0,""ladies"":1},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":3,""ladies"":0},""SEBC"":{""general"":1,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,15,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,27,0110791110,Computer Science and Engineering(Artificial Intelligence and Machine Learning),,23,0,,,0,4,,,0,18,2,2,"{""OPEN"":{""general"":5,""ladies"":3},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":3,""ladies"":1},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,15,false,
2025-26,DSE,01107,"P. R. Pote Patil College of Engineering & Management, Amravati",Un-Aided - Autonomous,Un-Aided -,true,25,0110799510,Artificial Intelligence and Data Science,,23,0,,,0,2,,,0,18,2,2,"{""OPEN"":{""general"":5,""ladies"":3},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":0,""ladies"":0},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":1,""ladies"":0},""NTD"":{""general"":0,""ladies"":1},""OBC"":{""general"":2,""ladies"":2},""SEBC"":{""general"":2,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,16,false,
2025-26,DSE,01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Un-Aided - Autonomous,Un-Aided -,true,16,0111419110,Civil Engineering,,12,0,,,0,4,,,4,6,2,2,"{""OPEN"":{""general"":3,""ladies"":2},""SC"":{""general"":1,""ladies"":0},""ST"":{""general"":1,""ladies"":0},""VJDT"":{""general"":1,""ladies"":0},""NTB"":{""general"":0,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":0,""ladies"":0},""OBC"":{""general"":2,""ladies"":0},""SEBC"":{""general"":1,""ladies"":0}}",dse_seat_matrix_2025_26.pdf,17,false,
2025-26,DSE,01114,"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Un-Aided - Autonomous,Un-Aided -,true,27,0111424210,Computer Science and Engineering,,25,0,,,0,2,,,2,18,2,2,"{""OPEN"":{""general"":6,""ladies"":3},""SC"":{""general"":2,""ladies"":1},""ST"":{""general"":1,""ladies"":1},""VJDT"":{""general"":0,""ladies"":1},""NTB"":{""general"":1,""ladies"":0},""NTC"":{""general"":0,""ladies"":0},""NTD"":{""general"":1,""ladies"":0},""OBC"":{""general"":3,""ladies"":1},""SEBC"":{""general"":1,""ladies"":1}}",dse_seat_matrix_2025_26.pdf,17,false,
