id,branch_code,official_name,display_name,search_group
200,0213624210,Computer Science and Engineering,Computer Science and Engineering,
201,0213624610,Information Technology,Information Technology,
202,0213629310,Electrical Engineering,Electrical Engineering,
203,0213637210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
204,0213661210,Mechanical Engineering,Mechanical Engineering,
205,0213691210,Computer Science and Engineering(Data Science),Computer Science and Engineering(Data Science),
206,0213692110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
207,0213719110,Civil Engineering,Civil Engineering,
208,0213724210,Computer Science and Engineering,Computer Science and Engineering,
209,0213729710,Electrical and Electronics Engineering,Electrical and Electronics Engineering,
210,0213761210,Mechanical Engineering,Mechanical Engineering,
211,0213819110,Civil Engineering,Civil Engineering,
212,0213824210,Computer Science and Engineering,Computer Science and Engineering,
213,0213829310,Electrical Engineering,Electrical Engineering,
214,0213861210,Mechanical Engineering,Mechanical Engineering,
215,0214619110,Civil Engineering,Civil Engineering,
216,0214629710,Electrical and Electronics Engineering,Electrical and Electronics Engineering,
217,0214661210,Mechanical Engineering,Mechanical Engineering,
218,0225019110,Civil Engineering,Civil Engineering,
219,0225024210,Computer Science and Engineering,Computer Science and Engineering,
220,0225029310,Electrical Engineering,Electrical Engineering,
221,0225037210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
222,0225061210,Mechanical Engineering,Mechanical Engineering,
223,0225219110,Civil Engineering,Civil Engineering,
224,0225224210,Computer Science and Engineering,Computer Science and Engineering,
225,0225229710,Electrical and Electronics Engineering,Electrical and Electronics Engineering,
226,0225261210,Mechanical Engineering,Mechanical Engineering,
227,0225419110,Civil Engineering,Civil Engineering,
228,0225424510,Computer Engineering,Computer Engineering,
229,0225429310,Electrical Engineering,Electrical Engineering,
230,0225437210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
231,0225461210,Mechanical Engineering,Mechanical Engineering,
232,0228219110,Civil Engineering,Civil Engineering,
233,0228224510,Computer Engineering,Computer Engineering,
234,0228224610,Information Technology,Information Technology,
235,0228229310,Electrical Engineering,Electrical Engineering,
236,0228290010,Electronics and Computer Science,Electronics and Computer Science,
237,0250819110,Civil Engineering,Civil Engineering,
238,0250824510,Computer Engineering,Computer Engineering,
239,0250829310,Electrical Engineering,Electrical Engineering,
240,0250850310,Food Technology,Food Technology,
241,0250861210,Mechanical Engineering,Mechanical Engineering,
242,0250891410,Safety and Fire Engineering,Safety and Fire Engineering,
243,0251619110,Civil Engineering,Civil Engineering,
244,0251624210,Computer Science and Engineering,Computer Science and Engineering,
245,0251629710,Electrical and Electronics Engineering,Electrical and Electronics Engineering,
246,0251661210,Mechanical Engineering,Mechanical Engineering,
247,0251692110,Artificial Intelligence and Machine Learning,Artificial Intelligence and Machine Learning,
248,0252219110,Civil Engineering,Civil Engineering,
249,0252224510,Computer Engineering,Computer Engineering,
250,0252237210,Electronics and Telecommunication Engg,Electronics and Telecommunication Engg,
251,0252261210,Mechanical Engineering,Mechanical Engineering,
252,0253319110,Civil Engineering,Civil Engineering,
253,0253324210,Computer Science and Engineering,Computer Science and Engineering,
254,0253329310,Electrical Engineering,Electrical Engineering,
255,0253337810,Electronics Engineering ( VLSI Design and Technology),Electronics Engineering ( VLSI Design and Technology),
256,0253361210,Mechanical Engineering,Mechanical Engineering,
257,0253384410,Electronics and Computer Engineering,Electronics and Computer Engineering,
258,0253392810,Electronics and Communication(Advanced Communication Technology),Electronics and Communication(Advanced Communication Technology),
259,0253399510,Artificial Intelligence and Data Science,Artificial Intelligence and Data Science,
260,0301219110,Civil Engineering,Civil Engineering,
261,0301261210,Mechanical Engineering,Mechanical Engineering,
262,0301262610,Production Engineering[Sandwich],Production Engineering[Sandwich],
263,0301289610,Textile Technology,Textile Technology,
264,0301419110,Civil Engineering,Civil Engineering,
