academic_year,admission_route,institute_code,college_name,college_status,college_type,autonomous,cap_seats,branch_code,branch_name,sanctioned_intake,maharashtra_seats,minority_seats,all_india_seats,institute_seats,orphan_seats,ews_seats,tfws_choice_code,tfws_seats,source_file,source_page,needs_review,review_reason
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,0202019110,Civil Engineering,60,58,0,0,2,1,6,0202019111,3,FE_2024_SeatMatrix.pdf,39,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,118,0202024210,Computer Science and Engineering,120,118,0,0,2,1,12,0202024211,6,FE_2024_SeatMatrix.pdf,40,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,0202024610,Information Technology,60,58,0,0,2,1,6,0202024611,3,FE_2024_SeatMatrix.pdf,41,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,0202029310,Electrical Engineering,30,28,0,0,2,0,3,0202029311,2,FE_2024_SeatMatrix.pdf,42,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,118,0202037210,Electronics and Telecommunication Engg,120,118,0,0,2,1,12,0202037211,6,FE_2024_SeatMatrix.pdf,43,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,38,0202046610,Instrumentation Engineering,40,38,0,0,2,0,4,0202046611,2,FE_2024_SeatMatrix.pdf,44,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,0202050710,Chemical Engineering,30,28,0,0,2,0,3,0202050711,2,FE_2024_SeatMatrix.pdf,45,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,0202060610,Production Engineering,60,58,0,0,2,1,6,0202060611,3,FE_2024_SeatMatrix.pdf,46,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,58,0202061210,Mechanical Engineering,60,58,0,0,2,1,6,0202061211,3,FE_2024_SeatMatrix.pdf,47,false,
2024-25,FE,02020,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Government-Aided Autonomous,Government-Aided,true,28,0202089610,Textile Technology,30,28,0,0,2,0,3,0202089611,2,FE_2024_SeatMatrix.pdf,48,false,
2024-25,FE,02032,"Institute of Chemical Technology, Mumbai Marathwada off campus, Jalna",University Managed Autonomous,University Managed,true,60,0203290410,Chemical Engineering,60,42,0,18,0,0,6,0203290411,3,FE_2024_SeatMatrix.pdf,49,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,30,0211301110,Agricultural Engineering,30,25,0,5,0,0,3,,0,FE_2024_SeatMatrix.pdf,50,false,
2024-25,FE,02113,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad",Un-Aided Autonomous,Un-Aided,true,90,0211319110,Civil Engineering,90,76,0,14,0,1,9,,0,FE_2024_SeatMatrix.pdf,51,false,
